dataset,query_id,question_number,question_source,method,arity_f1,entity_set_f1,row_matching_f1,exact_match_f1,status
bldg11,MORTAR_001,1,human,BrickQA,0.666666667,0,0,0,success
bldg11,MORTAR_001,1,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_001,2,human,BrickQA,0.666666667,0,0,0,success
bldg11,MORTAR_001,2,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_001,3,human,BrickQA,0.666666667,0,0,0,success
bldg11,MORTAR_001,3,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_001,4,human,BrickQA,1,0.41086351,0,0,success
bldg11,MORTAR_001,4,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_001,5,LLM_1,BrickQA,1,1,0.977220957,0.977220957,success
bldg11,MORTAR_001,5,LLM_1,ReAct,,0,0,0,no_results
bldg11,MORTAR_001,6,LLM_2,BrickQA,1,1,0.977220957,0.977220957,success
bldg11,MORTAR_001,6,LLM_2,ReAct,,0,0,0,no_results
bldg11,MORTAR_001,7,LLM_3,BrickQA,1,1,0.977220957,0.977220957,success
bldg11,MORTAR_001,7,LLM_3,ReAct,,0,0,0,no_results
bldg11,MORTAR_001,8,LLM_4,BrickQA,1,1,0.977220957,0.977220957,success
bldg11,MORTAR_001,8,LLM_4,ReAct,,0,0,0,no_results
bldg11,MORTAR_001,9,LLM_5,BrickQA,0.8,0.959406227,0.973524962,0,success
bldg11,MORTAR_001,9,LLM_5,ReAct,,0,0,0,no_results
bldg11,MORTAR_002,1,human,BrickQA,1,1,1,0,success
bldg11,MORTAR_002,1,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_002,2,human,BrickQA,0.666666667,1,1,0,success
bldg11,MORTAR_002,2,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_002,3,human,BrickQA,1,1,1,1,success
bldg11,MORTAR_002,3,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_002,4,human,BrickQA,0.666666667,0,0,0,success
bldg11,MORTAR_002,4,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_002,5,LLM_1,BrickQA,1,1,1,1,success
bldg11,MORTAR_002,5,LLM_1,ReAct,,0,0,0,no_results
bldg11,MORTAR_002,6,LLM_2,BrickQA,1,1,1,0,success
bldg11,MORTAR_002,6,LLM_2,ReAct,,0,0,0,no_results
bldg11,MORTAR_002,7,LLM_3,BrickQA,0.8,0.488986784,0,0,success
bldg11,MORTAR_002,7,LLM_3,ReAct,,0,0,0,no_results
bldg11,MORTAR_002,8,LLM_4,BrickQA,0.8,1,1,0,success
bldg11,MORTAR_002,8,LLM_4,ReAct,,0,0,0,no_results
bldg11,MORTAR_002,9,LLM_5,BrickQA,0.666666667,0,0,0,success
bldg11,MORTAR_002,9,LLM_5,ReAct,,0,0,0,no_results
bldg11,MORTAR_003,1,human,BrickQA,1,1,1,0,success
bldg11,MORTAR_003,1,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_003,2,human,BrickQA,1,1,1,0,success
bldg11,MORTAR_003,2,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_003,3,human,BrickQA,1,1,1,1,success
bldg11,MORTAR_003,3,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_003,4,LLM_1,BrickQA,1,1,1,1,success
bldg11,MORTAR_003,4,LLM_1,ReAct,,0,0,0,no_results
bldg11,MORTAR_003,5,LLM_2,BrickQA,0.666666667,0,0,0,success
bldg11,MORTAR_003,5,LLM_2,ReAct,,0,0,0,no_results
bldg11,MORTAR_003,6,LLM_3,BrickQA,0.666666667,0,0,0,success
bldg11,MORTAR_003,6,LLM_3,ReAct,,0,0,0,no_results
bldg11,MORTAR_003,7,LLM_4,BrickQA,0.666666667,0,0,0,success
bldg11,MORTAR_003,7,LLM_4,ReAct,,0,0,0,no_results
bldg11,MORTAR_003,8,LLM_5,BrickQA,0.8,1,1,0,success
bldg11,MORTAR_003,8,LLM_5,ReAct,,0,0,0,no_results
bldg11,MORTAR_004,1,human,BrickQA,1,1,1,0,success
bldg11,MORTAR_004,1,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_004,2,human,BrickQA,1,1,1,0,success
